评论,时间
🎁非常漂亮，做工精细，颜值担当，非常方便，🔮喜欢的朋友可以下手！,2024-07-04 00:17:16
东西收到了 颜色偏青 棉多 但是这个价格买来戴着玩可以的。客服米粒的态度很好 出现了一点小问题很快给解决了 送的手串我还挺喜欢的 感觉油性还行 发亮,2020-08-24 10:15:26
第一次在京东上买玉石，之前也犹豫了好久，对玉石也不太了解，看评价还不错才下手的，尺寸大小刚好，整体温润圆滑，上面镶嵌的小珠也很精致，还送了一串手串，手串有淡淡香味，也很不错。,2021-01-27 16:30:52
包装很好，一层一层，跟套娃似的；下单后第二天到，很快；不太懂玉的品相，但是看起来做工挺精致；送的手串也很大，地砖长60厘米，大小可以做参考。,2022-01-14 12:59:57
很满意这块玉石，外包装很精美结实，玉石圆润饱满，还有鉴定证书，相信京东自营的商品是有保证的，非常满意的一次购物,2022-06-21 15:00:00
玉质很不错，款式是传统圆形，性价比很高，手摸起来很润，很满意,2022-09-20 17:33:56
看外观很漂亮，光看着就有一种玉的清凉透彻的感觉，那个红色的珠子也是点睛之笔，很好的设计很好的寓意。另外玉感觉还是真玉，但自我感觉不是和田玉，因为和田玉真的很贵，是韩料的可能性比较大！,2020-08-09 07:16:15
真的超乎想象的好冰冰透透的，买来送给护士姐妹的礼物。自己也相中了,2025-04-21 19:57:19
包装还是不错的很精美，和田玉的材质应该没问题的，毕竟有鉴定证书，直径25mm重10.46g，还附赠了一根红色绳子，戴着也还是挺合适的，客服嫣然的服务也很好,2021-09-21 09:40:34
手感不错，颜色与照片稍有差别，颜色发绿不像照片那么白，但也可以接受，性价比还可以。,2019-02-07 22:10:22
和田玉不错，包装精美，证书齐全，值得购买，送人很合适,2024-11-25 07:53:15
第一次在网上买玉器有点担心，收到一看觉得还不错，尤其是灯光下看着很温润的感觉，正常状态下看玉扣没介绍的图片那么白，和鉴定书的颜色基本没差别，鉴定书扫码也查到应该是真和田玉，会员价348元优惠券后实付298元。,2019-03-10 22:48:26
款式特别漂亮，很简约大方，找人看过确实是和田玉的，性价比很高，一如既往的相信京东的品质,2022-07-21 15:12:49
很细腻，也比较油润，是真品可以推荐，送礼也不显小气重在寓意好,2020-04-16 16:41:05
比较厚实，有证书，是真的和田玉，有配绳，还送了一个手串，祝商家生意兴隆,2022-06-27 17:30:55
非常满意！箱子完好无损，包装很精致，商品没问题。发货速度真的很快，快递送货很及时，关键是这个价格很划算。味道也不错，价格比超市便宜了好多呢，太开心啦,2023-09-27 09:26:44
这玉色泽很不错，手感也好，,2023-10-01 22:23:24
的确不错。抱着试一试的态度。拿回来称心如意。五星好评，谢谢客服的耐心讲解。玉是真玉，上手超级细腻。包装精美。还有礼盒。,2017-11-28 15:02:01
小巧耐看，很精美，也很物超所值，纪念品的不二之选,2025-05-31 20:31:20
不错！开始担心不好。收到后很满意！颜色是我喜欢的，样子很精致！,2018-02-08 09:24:34
质量很好，佩戴也很舒服，尺寸大小也合适，好评,2025-05-26 08:30:21
扣扣很漂亮，糯糯的，润润的，送孩子的生日礼物，讨个吉利，赠品也很漂亮,2022-05-05 20:07:14
实物是真的好看，带上很舒服，性价比很高，通透有光泽，百搭款,2022-07-20 16:56:59
超级喜欢，特别在台灯和自然灯光下，这个价格买到太划算了，成色很好，快递也快，很满意,2022-07-11 14:53:45
不是特别白，有一点点黄，但是整体看着很厚实，玉质很不错，没有杂质,2022-08-07 17:49:57
平安扣，平平安安，质量比较好，性价比也比较高，对比了好几家，最后选了这家的，没有让我失望,2022-06-06 14:41:44
感觉还不错，拿在手里有点油的感觉，挺好看的,2024-09-04 22:25:16
晶莹剔透，非常喜欢，很在身上，也非常的舒服。,2023-11-09 22:25:02
挺好，不懂这些30岁生日，买了送自己，更重要的应该是象征意义吧，平安扣，扣平安希望能给自己带来好运，本人觉得没必要买那么贵的，好东西多了去了，就这样。,2020-11-29 14:20:50
本命年，买块平安扣保平安，玉很厚实，光滑圆润，佩戴合适,2022-09-20 10:51:24
宝贝颜色材质符合描述，f大小合适，非常满意，发货速度快，客服态度热情，有问必答,2022-08-31 17:34:10
这款平安扣在我购物车里躺了很久了，一直觉得太便宜了应该不太好，下定决心入手了，没想到货这么好，厚实实的，很好,2022-07-08 10:34:04
平安扣收到了，送货挺快的，虽然平安扣的颜色不是白的，但是摸上去手感光滑，摸着也有润泽感，平安扣的大小合适，包装密封完好，因为是特价买的，所以也还好。,2021-03-19 14:21:57
做工看起来挺好的，质地纯净，很喜欢，戴上效果不错，这在商场得一千多呢 ！给大家晒个图看下吧,2016-07-19 16:10:45
京东快递是真的给力，一天就到。东西特别满意，物有所值，玉很透，很水灵。,2022-07-29 15:29:03
平安扣不丑哦，我喜欢，客服朵朵人不错，没发手串，立马答应补发，谢谢了,2020-06-05 10:11:03
给女儿的生日礼物，孩子特别喜欢。值得表扬的是贝贝和乐乐的服务特别好，点赞👍🏻👍🏻👍🏻,2022-09-21 14:04:45
东西收到了，还不错，很好，希望真的，对玉也不懂，第一次购买，感觉带着很好看，还送了手串，客服也很好，很耐心，很好的一次购物体验,2022-11-13 07:19:34
这是我买的性价比很高的平安扣了，玉质很油润，很油亮，比较满意,2022-09-12 18:22:28
